index,name,genre
0,히나타,"우동,소바"
1,계부심,닭갈비
2,히나타,"우동,소바"
3,김치도가 독산역점,"찌개,전골"
4,천지회관,"육류,고기요리"
5,동남회관 가산점,"육류,고기요리"
6,값진백암순대,"순대,순댓국"
7,카츠누리,돈가스
8,원조감자탕 일미집 독산역점,감자탕
9,샐러드박스 독산역점,"다이어트,샐러드"
10,이선생맥주 독산역점,"맥주,호프"
11,꿈떡꿈떡 독산역점,떡볶이
12,육대장 가산점,"찌개,전골"
13,독산동맛집 조여사네집,한식
14,독산680,"치킨,닭강정"
15,김가네 독산역점,분식
16,천우돈,"육류,고기요리"
17,프랭크버거 독산역점,햄버거
18,동남집 대륭 17차,한식
19,춘리마라탕 독산점,마라탕
20,더진국 수육국밥 가산대륭20차점,국밥
21,명백집 가산점,한식
22,강인면옥,한식
23,뱃살도둑 가산점,"다이어트,샐러드"
24,마부마라탕,중식당
25,더좋은밥상,한식뷔페
26,럭셔리 홀덤펍,"맥주,호프"
27,펀비어킹 금천 독산역점,"맥주,호프"
28,바론중식,중식당
29,하노이포,베트남음식
30,일등카레,돈가스
31,흑백집 독산역대륭17차점,"육류,고기요리"
32,경성시장 가산점,요리주점
33,부케독산,술집
34,배부장찌개 독산점,"찌개,전골"
35,담소소사골순대육개장 가산4호점,"순대,순댓국"
36,더밥스,한식
37,푸드진열장 타코야끼,푸드트럭
38,솥뚜껑위에춤추는삼겹살,돼지고기구이
39,국밥대장 가산SKV1점,한식
40,예담참숯불구이,한식
41,정이든,한식
42,한라산도새기 가산점,돼지고기구이
43,옥희네수산 간장게장 무한리필,게요리
44,명가순대국,"순대,순댓국"
45,미스앤미스터오짱,미스앤미스터오짱
46,더반푸드,한식
47,김밥천국,분식
48,라사천마라탕 독산역점,마라탕
49,다운푸드,한식
50,이디야커피 가산하이엔드10차점,카페
51,스타벅스 독산역점,카페
52,경기미당커피,떡카페
53,정원국밥,국밥
54,소망한식부페,한식뷔페
55,솔향기,한식
56,우림라이온스밸리2차 구내식당,한식
57,굳바이브,한식
58,좋은데,한식
59,매반생면 가산점,국수
